expertiseName,expertiseUri,count
Computational Condensed Matter Physics,http://info.deepcarbon.net/individual/d6dcbd44f-e457-4361-8b4a-abdaec8a71b8,5
Computational Science,http://info.deepcarbon.net/individual/d01600981-3a22-42d1-992d-1ff7e7f03c0c,4
Computational and Theoretical Physics,http://info.deepcarbon.net/individual/aec8182f63ebd1ec90fba7064b,1
Computational physics and chemistry,http://info.deepcarbon.net/individual/f2b149899efb6289ee7d7dbb5c,1
Computational physics and chemistry,http://info.deepcarbon.net/individual/f399a83b4ff6f79c5918f70631,1
Computer Modeling,http://info.deepcarbon.net/individual/d9969a868-a7fd-429b-b45d-b24a7f32a0cb,15
Computer Science,http://info.deepcarbon.net/individual/96001699bd38a15be6f65e01db,3
Computer Science,http://info.deepcarbon.net/individual/96001699bd38a15be6f65e01db,3
Computer Simulations,http://info.deepcarbon.net/individual/d1cc5f041-f04b-4a34-9c11-2423752feb76,16
Computing,http://info.deepcarbon.net/individual/f6ead6e776d1d75fa4d7735dcd,1
Condensed Matter Physics,http://info.deepcarbon.net/individual/d0ede0bda-c79b-474d-b157-49569b93f028,11
Condensed Matter Theory,http://info.deepcarbon.net/individual/dce3ca900-20fa-4fb2-a33c-96f7c07bd296,3
Core and Mantle,http://info.deepcarbon.net/individual/d0e52ca32-c09a-4fbb-a204-353f1053cac0,12
Core–mantle differentiation,http://info.deepcarbon.net/individual/166c27d3-25e0-45ab-a65d-d7fc76f4e415,1
Cosmochemistry,http://info.deepcarbon.net/individual/d4522dd63-7fdf-4246-ad69-ea41c6f0baa4,7
Crustal Evolution,http://info.deepcarbon.net/individual/60ad5852-e70c-46ac-9944-8d892291ca7e,1
Crystallography,http://info.deepcarbon.net/individual/0e6993d8cae29852405223cb76,1
DOAS,http://info.deepcarbon.net/individual/520e9806d8c83f113e59828dc1,1
DOAS,http://info.deepcarbon.net/individual/9fb5caa9ff7e07047186ec724c,1
Data Analysis,http://info.deepcarbon.net/individual/daf5c89e9-541e-4d4f-b4f1-64ecc02b81ad,9
Data Analysis,http://info.deepcarbon.net/individual/daf5c89e9-541e-4d4f-b4f1-64ecc02b81ad,9
Data Management,http://info.deepcarbon.net/individual/d8485d382-c398-486b-9be0-7d915bd5c342,3
Data Management,http://info.deepcarbon.net/individual/d8485d382-c398-486b-9be0-7d915bd5c342,3
Data Publication,http://info.deepcarbon.net/individual/n3342,1
Data Science,http://info.deepcarbon.net/individual/d0e77e1fe-1878-4481-a285-8e802095be0b,14
Data Science,http://info.deepcarbon.net/individual/d0e77e1fe-1878-4481-a285-8e802095be0b,14
Data Semantics,http://info.deepcarbon.net/individual/1367754b709e810ff2a66440dd,1
Data Semantics,http://info.deepcarbon.net/individual/f2957691f1808c79d45120d1c4,1
Data Visualization,http://info.deepcarbon.net/individual/deb04ce44-cca6-42f5-9eeb-736a392570f7,5
Data Visualization,http://info.deepcarbon.net/individual/deb04ce44-cca6-42f5-9eeb-736a392570f7,5
Data presentation and visualization,http://abstractsearch.agu.org/keywords/0530,2
Data presentation and visualization,http://abstractsearch.agu.org/keywords/0530,2
Decarbonization,http://info.deepcarbon.net/individual/d535bf538-1735-47ed-9b32-df4c4507329a,2
Deep Biosphere,http://info.deepcarbon.net/individual/d9d3acdc2-abf4-4533-955b-120928024c2f,29
